"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon"
"Koblenz","Kreisfreie Stadt","Rheinland-Pfalz","113388",171,6874,6062.4,142.9,162,0,"de-rp-07111000","50.348516061","7.5795510239"
"Ahrweiler","Landkreis","Rheinland-Pfalz","130479",73,7732,5925.9,179.3,234,0,"de-rp-07131000","50.4675853221","7.04497643896"
"Altenkirchen (Westerwald)","Landkreis","Rheinland-Pfalz","129087",112,8034,6223.7,164.2,212,0,"de-rp-07132000","50.750747657","7.74412525976"
"Bad Kreuznach","Landkreis","Rheinland-Pfalz","158746",153,9387,5913.2,160,254,0,"de-rp-07133000","49.8248204055","7.68666499174"
"Birkenfeld","Landkreis","Rheinland-Pfalz","80830",108,5623,6956.6,170.7,138,0,"de-rp-07134000","49.7125403895","7.27765459793"
"Cochem-Zell","Landkreis","Rheinland-Pfalz","61578",80,3406,5531.2,160.8,99,1,"de-rp-07135000","50.1328800059","7.17431996528"
"Mayen-Koblenz","Landkreis","Rheinland-Pfalz","214786",200,11602,5401.7,150.4,323,1,"de-rp-07137000","50.3316078654","7.33216943214"
"Neuwied","Landkreis","Rheinland-Pfalz","183131",209,13044,7122.8,250.6,459,1,"de-rp-07138000","50.5577005458","7.46900064967"
"Rhein-Hunsrück-Kreis","Landkreis","Rheinland-Pfalz","103401",112,6528,6313.3,253.4,262,0,"de-rp-07140000","50.0442098205","7.50009971248"
"Rhein-Lahn-Kreis","Landkreis","Rheinland-Pfalz","122574",106,6361,5189.5,168.1,206,0,"de-rp-07141000","50.2632817442","7.84270993642"
"Westerwaldkreis","Landkreis","Rheinland-Pfalz","202830",184,11538,5688.5,121.3,246,0,"de-rp-07143000","50.5523493705","7.86568137201"
"Trier","Kreisfreie Stadt","Rheinland-Pfalz","110674",41,4610,4165.4,119.3,132,0,"de-rp-07211000","49.762938832","6.65505102152"
"Bernkastel-Wittlich","Landkreis","Rheinland-Pfalz","112685",70,5456,4841.8,200.6,226,0,"de-rp-07231000","49.924645182","6.96721862193"
"Eifelkreis Bitburg-Prüm","Landkreis","Rheinland-Pfalz","100055",40,5140,5137.2,117.9,118,0,"de-rp-07232000","50.0621597731","6.41012996519"
"Vulkaneifel","Landkreis","Rheinland-Pfalz","60491",66,3254,5379.3,208.3,126,0,"de-rp-07233000","50.2383358519","6.74865373201"
"Trier-Saarburg","Landkreis","Rheinland-Pfalz","150533",111,7457,4953.7,110.3,166,0,"de-rp-07235000","49.6964711338","6.69519559648"
"Frankenthal (Pfalz)","Kreisfreie Stadt","Rheinland-Pfalz","48750",63,4136,8484.1,276.9,135,1,"de-rp-07311000","49.5330640295","8.35688379873"
"Kaiserslautern","Kreisfreie Stadt","Rheinland-Pfalz","99662",128,6549,6571.2,343.2,342,0,"de-rp-07312000","49.4328526023","7.76067474783"
"Landau in der Pfalz","Kreisfreie Stadt","Rheinland-Pfalz","46685",53,3445,7379.2,267.8,125,0,"de-rp-07313000","49.2244938821","8.05060075998"
"Ludwigshafen am Rhein","Kreisfreie Stadt","Rheinland-Pfalz","172557",353,17207,9971.8,267.2,461,0,"de-rp-07314000","49.4820876658","8.39684453576"
"Mainz","Kreisfreie Stadt","Rheinland-Pfalz","217123",231,15222,7010.8,151.1,328,1,"de-rp-07315000","49.9741865223","8.24149708463"
"Neustadt an der Weinstraße","Kreisfreie Stadt","Rheinland-Pfalz","53306",51,3840,7203.7,337.7,180,0,"de-rp-07316000","49.3418758196","8.15228785937"
"Pirmasens","Kreisfreie Stadt","Rheinland-Pfalz","40176",69,2402,5978.7,328.6,132,0,"de-rp-07317000","49.1971270853","7.59436316477"
"Speyer","Kreisfreie Stadt","Rheinland-Pfalz","50741",103,5217,10281.6,356.7,181,0,"de-rp-07318000","49.3297181375","8.43501974938"
"Worms","Kreisfreie Stadt","Rheinland-Pfalz","83459",108,7450,8926.5,266,222,0,"de-rp-07319000","49.6494455343","8.32452863106"
"Zweibrücken","Kreisfreie Stadt","Rheinland-Pfalz","34001",9,1673,4920.4,282.3,96,0,"de-rp-07320000","49.2481606938","7.36539388964"
"Alzey-Worms","Landkreis","Rheinland-Pfalz","130715",148,9092,6955.6,239.5,313,0,"de-rp-07331000","49.759441395","8.15718502019"
"Bad Dürkheim","Landkreis","Rheinland-Pfalz","133004",173,7834,5890,192.5,256,3,"de-rp-07332000","49.4530205976","8.11030493729"
"Donnersbergkreis","Landkreis","Rheinland-Pfalz","75539",84,4253,5630.2,215.8,163,0,"de-rp-07333000","49.631983052","7.9150113274"
"Germersheim","Landkreis","Rheinland-Pfalz","129006",154,11658,9036.8,441.8,570,1,"de-rp-07334000","49.1159081733","8.2461937699"
"Kaiserslautern","Landkreis","Rheinland-Pfalz","106320",94,7127,6703.3,383.7,408,0,"de-rp-07335000","49.446222318","7.6849815727"
"Kusel","Landkreis","Rheinland-Pfalz","70105",76,3652,5209.3,216.8,152,0,"de-rp-07336000","49.5498108558","7.47132028218"
"Südliche Weinstraße","Landkreis","Rheinland-Pfalz","110783",134,7811,7050.7,250.9,278,1,"de-rp-07337000","49.1903823441","8.04807600445"
"Rhein-Pfalz-Kreis","Landkreis","Rheinland-Pfalz","154754",247,12381,8000.4,222.3,344,0,"de-rp-07338000","49.416649982","8.36068108599"
"Mainz-Bingen","Landkreis","Rheinland-Pfalz","211525",245,11632,5499.1,130.5,276,0,"de-rp-07339000","49.9220138826","8.07964875059"
"Südwestpfalz","Landkreis","Rheinland-Pfalz","94912",100,4967,5233.3,227.6,216,0,"de-rp-07340000","49.2082747366","7.65886718981"
"Stuttgart","Stadtkreis","Baden-Württemberg","630305",572,54948,8717.7,496,3126,2,"de-bw-08111000","48.7745339639","9.17206798796"
"Böblingen","Landkreis","Baden-Württemberg","392898",357,32740,8333,259.4,1019,0,"de-bw-08115000","48.6782256288","8.9427773012"
"Esslingen","Landkreis","Baden-Württemberg","533617",644,47912,8978.7,394.7,2106,2,"de-bw-08116000","48.6480216763","9.36916572775"
"Göppingen","Landkreis","Baden-Württemberg","258781",313,24575,9496.4,330,854,0,"de-bw-08117000","48.6631483606","9.71750497706"
"Ludwigsburg","Landkreis","Baden-Württemberg","544971",569,47175,8656.4,280.2,1527,0,"de-bw-08118000","48.940602979","9.12434425665"
"Rems-Murr-Kreis","Landkreis","Baden-Württemberg","427286",452,38959,9117.8,379.4,1621,1,"de-bw-08119000","48.899008131","9.50121295556"
