typ,einwohner,bundesland,Kreis,hc.key,lat,lon,weekly_cases,inzidenz.x,weekly_cases_A00-A04,inzidenz_A00-A04,weekly_cases_A05-A14,inzidenz_A05-A14,weekly_cases_A15-A34,inzidenz_A15-A34,weekly_cases_A35-A59,inzidenz_A35-A59,weekly_cases_A60-A79,inzidenz_A60-A79,weekly_cases_A80+,inzidenz_A80+
Landkreis,143649,Bayern,Ebersberg,de-by-09175000,48.07617761,11.91317212,1443,1001.450472271,41,558.659217877095,192,1280.59761221904,369,1155.18266912939,615,1137.3513583489,184,684.498344555634,42,498.812351543943
Landkreis,132881,Bayern,Eichstätt,de-by-09176000,48.89808756,11.37038733,961,721.639420585872,29,385.58702300226,130,979.57953432296,269,842.415132155831,373,779.535622479049,140,560.201672602137,20,273.336066694
Landkreis,138182,Bayern,Erding,de-by-09177000,48.30039708,12.0006247,1093,786.948038389816,17,239.605355884426,115,863.233748686383,322,988.609499247797,441,833.648393194707,153,603.812305142271,45,647.016534867002
Landkreis,180007,Bayern,Freising,de-by-09178000,48.44735698,11.74067169,1346,747.034323648323,26,278.164116828929,182,1077.17803030303,487,1028.20707710497,473,704.047154786181,142,460.60527425476,32,381.497377205532
Landkreis,219311,Bayern,Fürstenfeldbruck,de-by-09179000,48.18779329,11.20107762,1861,851.238913778916,34,311.526479750779,277,1298.45778840294,499,1045.09183823067,767,973.43672661277,217,473.034834546802,67,457.337883959044
Landkreis,88424,Bayern,Garmisch-Partenkirchen,de-by-09180000,47.55634898,11.12962861,520,590.174333646734,11,278.904665314402,65,900.776053215078,146,770.407894042531,211,697.105854367649,69,331.874368717233,18,248.138957816377
Landkreis,120302,Bayern,Landsberg am Lech,de-by-09181000,48.02443538,10.94873468,957,790.784918070716,27,464.396284829721,127,1095.20524318731,277,1042.33301975541,361,818.408524144185,133,530.705079605762,32,447.802966694654
Landkreis,100010,Bayern,Miesbach,de-by-09182000,47.74164533,11.80898974,797,795.544154197818,8,171.013253527148,77,850.546780072904,180,853.040140277712,360,996.926144388136,131,595.61698645085,40,565.530892124982
Landkreis,115872,Bayern,Mühldorf a. Inn,de-by-09183000,48.23931452,12.38182802,1006,865.362327549943,14,244.242847173761,107,990.09900990099,294,1090.62581147754,436,1059.30659151097,126,515.232058883664,29,428.867199053534
Landkreis,350473,Bayern,München (Landkreis),de-by-09184000,48.0744744,11.63136804,2201,633.999170682185,61,354.218686487428,332,922.504098474534,604,763.938075483153,856,673.798222621044,245,358.585562906153,101,442.322851887536
