"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Inzidenz","Neuinfektionen","Tote.in.7.Tagen","hc.key","lat","lon","Datum"
"Düren","Kreis","Nordrhein-Westfalen","265140","419","80158","696.990269291695","1848","1","de-nw-05358000",50.81789505,6.44556161,"29.4.2022"
"Rhein-Erft-Kreis","Kreis","Nordrhein-Westfalen","469611","551","135592","605.181735521527","2842","0","de-nw-05362000",50.90493303,6.716491019,"29.4.2022"
"Euskirchen","Kreis","Nordrhein-Westfalen","194359","309","55207","774.340267237432","1505","0","de-nw-05366000",50.53647317,6.644151912,"29.4.2022"
"Heinsberg","Kreis","Nordrhein-Westfalen","256458","487","58000","838.733827761271","2151","0","de-nw-05370000",51.04934891,6.164112924,"29.4.2022"
"Oberbergischer Kreis","Kreis","Nordrhein-Westfalen","271699","427","82990","620.539641294226","1686","0","de-nw-05374000",51.0127092,7.516628817,"29.4.2022"
"Rheinisch-Bergischer Kreis","Kreis","Nordrhein-Westfalen","283275","243","74105","588.121083752537","1666","0","de-nw-05378000",51.02300443,7.194846538,"29.4.2022"
"Rhein-Sieg-Kreis","Kreis","Nordrhein-Westfalen","600375","761","141292","502.685821361649","3018","0","de-nw-05382000",50.76063891,7.234573028,"29.4.2022"
"Bottrop","Kreisfreie Stadt","Nordrhein-Westfalen","117388","172","30052","518.792380822571","609","0","de-nw-05512000",51.57169383,6.920116178,"29.4.2022"
"Gelsenkirchen","Kreisfreie Stadt","Nordrhein-Westfalen","259105","564","68292","540.707435209664","1401","0","de-nw-05513000",51.55395642,7.071240238,"29.4.2022"
"Münster","Kreisfreie Stadt","Nordrhein-Westfalen","316403","200","87025","1202.89630629292","3806","0","de-nw-05515000",51.95431679,7.623646795,"29.4.2022"
"Borken","Kreis","Nordrhein-Westfalen","371898","435","129473","1306.54104082302","4859","0","de-nw-05554000",51.96131984,6.899615612,"29.4.2022"
"Coesfeld","Kreis","Nordrhein-Westfalen","220712","130","62876","1112.30925368806","2455","0","de-nw-05558000",51.86685104,7.366012233,"29.4.2022"
"Recklinghausen","Kreis","Nordrhein-Westfalen","613599","1272","154300","650.750734600285","3993","0","de-nw-05562000",51.67248392,7.159248939,"29.4.2022"
"Steinfurt","Kreis","Nordrhein-Westfalen","448197","465","136043","792.508651329661","3552","1","de-nw-05566000",52.21153668,7.579446713,"29.4.2022"
"Warendorf","Kreis","Nordrhein-Westfalen","277417","340","82083","1074.19516467989","2980","0","de-nw-05570000",51.87022279,7.958294933,"29.4.2022"
