"Kreis","Typ","Bundesland","Einwohner","Tote","Infizierte","Fälle.pro.100.000","Neuinfektionen.pro.100.000","Neuinfektionen","hc.key","lat","lon"
"Bamberg","Kreisfreie Stadt","Bayern","76674","107","4201","5479","262.1",201,"de-by-09461000","49.8872221328","10.8989362521"
"Bayreuth","Kreisfreie Stadt","Bayern","74048","115","4234","5717.9","270.1",200,"de-by-09462000","49.9377427404","11.5846727854"
"Coburg","Kreisfreie Stadt","Bayern","40842","93","2876","7041.8","333",136,"de-by-09463000","50.2639516155","10.9644386599"
"Hof","Kreisfreie Stadt","Bayern","45173","121","4497","9955.1","278.9",126,"de-by-09464000","50.3107956285","11.8972631725"
"Bamberg","Landkreis","Bayern","147497","157","7559","5124.8","381.7",563,"de-by-09471000","49.893428617","10.8836637829"
"Bayreuth","Landkreis","Bayern","103679","167","6008","5794.8","349.2",362,"de-by-09472000","49.8837610883","11.5551557567"
"Coburg","Landkreis","Bayern","86571","165","5894","6808.3","296.9",257,"de-by-09473000","50.267889506","10.9423260473"
"Forchheim","Landkreis","Bayern","116600","121","6431","5515.4","405.7",473,"de-by-09474000","49.7209968812","11.1731319634"
"Hof","Landkreis","Bayern","94522","163","7578","8017.2","363.9",344,"de-by-09475000","50.2732120456","11.8191928507"
"Kronach","Landkreis","Bayern","66355","102","5456","8222.4","605.8",402,"de-by-09476000","50.3279632281","11.3720466405"
"Kulmbach","Landkreis","Bayern","71428","125","4875","6825.1","243.6",174,"de-by-09477000","50.1026420807","11.4822991401"
"Lichtenfels","Landkreis","Bayern","66722","88","4366","6543.6","313.2",209,"de-by-09478000","50.1093305037","11.1169215721"
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern","71974","202","5868","8152.9","422.4",304,"de-by-09479000","50.0901405328","12.0418721069"
"Ansbach","Kreisfreie Stadt","Bayern","41681","46","2491","5976.3","268.7",112,"de-by-09561000","49.2921846581","10.56366943"
"Erlangen","Kreisfreie Stadt","Bayern","112385","101","5265","4684.8","241.1",271,"de-by-09562000","49.5823292133","10.9781449629"
"Fürth","Kreisfreie Stadt","Bayern","128223","232","10158","7922.1","374.3",480,"de-by-09563000","49.4914188335","10.9654822077"
"Nürnberg","Kreisfreie Stadt","Bayern","515543","1001","45061","8740.5","358.3",1847,"de-by-09564000","49.4362114486","11.0827553426"
"Schwabach","Kreisfreie Stadt","Bayern","41056","112","2924","7122","438.4",180,"de-by-09565000","49.3356205083","11.0235125889"
"Ansbach","Landkreis","Bayern","185316","204","11377","6139.2","387.4",718,"de-by-09571000","49.2481645834","10.4681333941"
"Erlangen-Höchstadt","Landkreis","Bayern","138105","140","7220","5227.9","332.4",459,"de-by-09572000","49.6400408309","10.9148933012"
"Fürth","Landkreis","Bayern","118695","220","7102","5983.4","288.1",342,"de-by-09573000","49.4466905187","10.8496864939"
"Nürnberger Land","Landkreis","Bayern","171143","195","9564","5588.3","344.2",589,"de-by-09574000","49.4919039379","11.3694064626"
"Neustadt a.d. Aisch-Bad Windsheim","Landkreis","Bayern","101272","114","5875","5801.2","298.2",302,"de-by-09575000","49.5694835927","10.4652916664"
"Roth","Landkreis","Bayern","127168","182","7762","6103.7","464.7",591,"de-by-09576000","49.2029170864","11.1235654086"
"Weißenburg-Gunzenhausen","Landkreis","Bayern","95117","124","6142","6457.3","658.1",626,"de-by-09577000","49.0326858351","10.8936591358"
"Aschaffenburg","Kreisfreie Stadt","Bayern","70858","119","4635","6541.3","318.9",226,"de-by-09661000","49.9638560444","9.14581192433"
"Schweinfurt","Kreisfreie Stadt","Bayern","53319","102","4507","8452.9","444.5",237,"de-by-09662000","50.0470080022","10.2208919522"
"Würzburg","Kreisfreie Stadt","Bayern","126954","133","6509","5127.1","263.9",335,"de-by-09663000","49.7846554247","9.94089602932"
"Aschaffenburg","Landkreis","Bayern","174658","217","10079","5770.7","239.3",418,"de-by-09671000","50.0080931044","9.23803745665"
"Bad Kissingen","Landkreis","Bayern","103169","113","5017","4862.9","385.8",398,"de-by-09672000","50.2225139424","9.96470110779"
"Rhön-Grabfeld","Landkreis","Bayern","79510","96","4725","5942.6","376.1",299,"de-by-09673000","50.3713127519","10.2549075725"
"Haßberge","Landkreis","Bayern","84275","91","5355","6354.2","408.2",344,"de-by-09674000","50.0628789327","10.6069788351"
"Kitzingen","Landkreis","Bayern","91696","87","4493","4899.9","277",254,"de-by-09675000","49.7532253896","10.2560624461"
"Miltenberg","Landkreis","Bayern","128743","143","7792","6052.4","273.4",352,"de-by-09676000","49.7572905887","9.23471658769"
"Main-Spessart","Landkreis","Bayern","125976","218","5786","4592.9","177.8",224,"de-by-09677000","49.9935822339","9.66268166277"
"Schweinfurt","Landkreis","Bayern","115652","152","6956","6014.6","362.3",419,"de-by-09678000","50.016881784","10.2599503138"
"Würzburg","Landkreis","Bayern","162697","84","6326","3888.2","250.8",408,"de-by-09679000","49.737626672","9.92736341488"
