"Kreis","Typ","Bundesland","Einwohner","Tote","Tote.in.7.Tagen","hc.key","totrel"
"Heidelberg","Stadtkreis","Baden-Württemberg",158741,72,0,"de-bw-08221000",45
"Mannheim","Stadtkreis","Baden-Württemberg",309721,393,2,"de-bw-08222000",127
"Neckar-Odenwald-Kreis","Landkreis","Baden-Württemberg",143797,161,0,"de-bw-08225000",112
"Rhein-Neckar-Kreis","Landkreis","Baden-Württemberg",548233,510,0,"de-bw-08226000",93
"Pforzheim","Stadtkreis","Baden-Württemberg",126016,277,1,"de-bw-08231000",220
"Calw","Landkreis","Baden-Württemberg",160149,212,0,"de-bw-08235000",132
"Enzkreis","Landkreis","Baden-Württemberg",199752,303,0,"de-bw-08236000",152
"Freudenstadt","Landkreis","Baden-Württemberg",118364,171,0,"de-bw-08237000",144
"Freiburg im Breisgau","Stadtkreis","Baden-Württemberg",230940,200,0,"de-bw-08311000",87
"Breisgau-Hochschwarzwald","Landkreis","Baden-Württemberg",264867,233,1,"de-bw-08315000",88
"Emmendingen","Landkreis","Baden-Württemberg",166862,188,0,"de-bw-08316000",113
"Ortenaukreis","Landkreis","Baden-Württemberg",432580,653,0,"de-bw-08317000",151
"Rottweil","Landkreis","Baden-Württemberg",140166,213,0,"de-bw-08325000",152
"Schwarzwald-Baar-Kreis","Landkreis","Baden-Württemberg",212872,274,3,"de-bw-08326000",129
"Tuttlingen","Landkreis","Baden-Württemberg",141682,185,0,"de-bw-08327000",131
"Konstanz","Landkreis","Baden-Württemberg",286876,329,3,"de-bw-08335000",115
"Lörrach","Landkreis","Baden-Württemberg",228842,337,1,"de-bw-08336000",147
"Waldshut","Landkreis","Baden-Württemberg",171237,249,0,"de-bw-08337000",145
"Reutlingen","Landkreis","Baden-Württemberg",287497,345,1,"de-bw-08415000",120
"Tübingen","Landkreis","Baden-Württemberg",228471,206,0,"de-bw-08416000",90
"Zollernalbkreis","Landkreis","Baden-Württemberg",189862,199,1,"de-bw-08417000",105
"Ulm","Stadtkreis","Baden-Württemberg",126405,98,0,"de-bw-08421000",78
"Alb-Donau-Kreis","Landkreis","Baden-Württemberg",198204,196,0,"de-bw-08425000",99
"Biberach","Landkreis","Baden-Württemberg",202250,226,0,"de-bw-08426000",112
"Bodenseekreis","Landkreis","Baden-Württemberg",217901,217,2,"de-bw-08435000",100
"Ravensburg","Landkreis","Baden-Württemberg",285888,180,0,"de-bw-08436000",63
"Sigmaringen","Landkreis","Baden-Württemberg",130946,118,0,"de-bw-08437000",90
"Ingolstadt","Kreisfreie Stadt","Bayern",136952,177,1,"de-by-09161000",129
"München","Kreisfreie Stadt","Bayern",1488202,1581,2,"de-by-09162000",106
"Rosenheim","Kreisfreie Stadt","Bayern",63591,91,1,"de-by-09163000",143
"Altötting","Landkreis","Bayern",111654,253,0,"de-by-09171000",227
"Berchtesgadener Land","Landkreis","Bayern",106327,140,2,"de-by-09172000",132
"Bad Tölz-Wolfratshausen","Landkreis","Bayern",128212,154,2,"de-by-09173000",120
"Dachau","Landkreis","Bayern",155117,169,0,"de-by-09174000",109
"Ebersberg","Landkreis","Bayern",144091,212,0,"de-by-09175000",147
"Eichstätt","Landkreis","Bayern",133169,122,2,"de-by-09176000",92
"Erding","Landkreis","Bayern",138891,151,0,"de-by-09177000",109
"Freising","Landkreis","Bayern",180313,165,0,"de-by-09178000",92
"Fürstenfeldbruck","Landkreis","Bayern",218740,189,1,"de-by-09179000",86
"Garmisch-Partenkirchen","Landkreis","Bayern",88279,114,1,"de-by-09180000",129
"Landsberg am Lech","Landkreis","Bayern",121019,111,1,"de-by-09181000",92
"Miesbach","Landkreis","Bayern",100183,129,0,"de-by-09182000",129
"Mühldorf a. Inn","Landkreis","Bayern",116483,244,1,"de-by-09183000",209
"München","Landkreis","Bayern",349685,314,0,"de-by-09184000",90
"Neuburg-Schrobenhausen","Landkreis","Bayern",97730,107,0,"de-by-09185000",109
"Pfaffenhofen a.d. Ilm","Landkreis","Bayern",129128,194,3,"de-by-09186000",150
"Rosenheim","Landkreis","Bayern",261721,589,0,"de-by-09187000",225
"Starnberg","Landkreis","Bayern",136610,146,0,"de-by-09188000",107
"Traunstein","Landkreis","Bayern",177485,290,0,"de-by-09189000",163
"Weilheim-Schongau","Landkreis","Bayern",136134,129,0,"de-by-09190000",95
"Landshut","Kreisfreie Stadt","Bayern",73065,135,0,"de-by-09261000",185
"Passau","Kreisfreie Stadt","Bayern",52415,129,0,"de-by-09262000",246
"Straubing","Kreisfreie Stadt","Bayern",47612,104,0,"de-by-09263000",218
"Deggendorf","Landkreis","Bayern",119479,221,1,"de-by-09271000",185
"Freyung-Grafenau","Landkreis","Bayern",78355,168,3,"de-by-09272000",214
"Kelheim","Landkreis","Bayern",123390,130,0,"de-by-09273000",105
"Landshut","Landkreis","Bayern",161191,225,0,"de-by-09274000",140
"Passau","Landkreis","Bayern",193454,465,2,"de-by-09275000",240
"Regen","Landkreis","Bayern",77313,205,0,"de-by-09276000",265
"Rottal-Inn","Landkreis","Bayern",121800,280,1,"de-by-09277000",230
"Straubing-Bogen","Landkreis","Bayern",101745,165,0,"de-by-09278000",162
"Dingolfing-Landau","Landkreis","Bayern",97244,166,0,"de-by-09279000",171
"Amberg","Kreisfreie Stadt","Bayern",42052,38,0,"de-by-09361000",90
"Regensburg","Kreisfreie Stadt","Bayern",152270,123,0,"de-by-09362000",81
"Weiden i.d. OPf.","Kreisfreie Stadt","Bayern",42535,102,0,"de-by-09363000",240
"Amberg-Sulzbach","Landkreis","Bayern",102998,188,0,"de-by-09371000",183
"Cham","Landkreis","Bayern",128094,236,1,"de-by-09372000",184
"Neumarkt i.d. OPf.","Landkreis","Bayern",135225,206,1,"de-by-09373000",152
"Neustadt a.d. Waldnaab","Landkreis","Bayern",94645,200,0,"de-by-09374000",211
"Regensburg","Landkreis","Bayern",194275,216,0,"de-by-09375000",111
"Schwandorf","Landkreis","Bayern",148477,210,0,"de-by-09376000",141
"Tirschenreuth","Landkreis","Bayern",71696,274,0,"de-by-09377000",382
"Bamberg","Kreisfreie Stadt","Bayern",76674,116,0,"de-by-09461000",151
"Bayreuth","Kreisfreie Stadt","Bayern",74048,122,0,"de-by-09462000",165
"Coburg","Kreisfreie Stadt","Bayern",40842,103,0,"de-by-09463000",252
"Hof","Kreisfreie Stadt","Bayern",45173,134,1,"de-by-09464000",297
"Bamberg","Landkreis","Bayern",147497,179,1,"de-by-09471000",121
"Bayreuth","Landkreis","Bayern",103679,179,0,"de-by-09472000",173
"Coburg","Landkreis","Bayern",86571,182,0,"de-by-09473000",210
"Forchheim","Landkreis","Bayern",116600,141,0,"de-by-09474000",121
"Hof","Landkreis","Bayern",94522,192,0,"de-by-09475000",203
"Kronach","Landkreis","Bayern",66355,132,0,"de-by-09476000",199
"Kulmbach","Landkreis","Bayern",71428,129,0,"de-by-09477000",181
"Lichtenfels","Landkreis","Bayern",66722,110,0,"de-by-09478000",165
"Wunsiedel i. Fichtelgebirge","Landkreis","Bayern",71974,214,0,"de-by-09479000",297
"Ansbach","Kreisfreie Stadt","Bayern",41681,48,0,"de-by-09561000",115
"Erlangen","Kreisfreie Stadt","Bayern",112385,111,0,"de-by-09562000",99
"Fürth","Kreisfreie Stadt","Bayern",128223,262,1,"de-by-09563000",204
"Nürnberg","Kreisfreie Stadt","Bayern",515543,1071,0,"de-by-09564000",208
"Schwabach","Kreisfreie Stadt","Bayern",41056,120,0,"de-by-09565000",292
"Ansbach","Landkreis","Bayern",185316,226,2,"de-by-09571000",122
"Erlangen-Höchstadt","Landkreis","Bayern",138105,159,0,"de-by-09572000",115
"Fürth","Landkreis","Bayern",118695,240,0,"de-by-09573000",202
"Nürnberger Land","Landkreis","Bayern",171143,214,1,"de-by-09574000",125
"Neustadt a.d. Aisch-Bad Windsheim","Landkreis","Bayern",101272,124,0,"de-by-09575000",122
"Roth","Landkreis","Bayern",127168,192,0,"de-by-09576000",151
"Weißenburg-Gunzenhausen","Landkreis","Bayern",95117,142,2,"de-by-09577000",149
"Aschaffenburg","Kreisfreie Stadt","Bayern",70858,130,1,"de-by-09661000",183
"Schweinfurt","Kreisfreie Stadt","Bayern",53319,109,0,"de-by-09662000",204
"Würzburg","Kreisfreie Stadt","Bayern",126954,140,0,"de-by-09663000",110
"Aschaffenburg","Landkreis","Bayern",174658,233,1,"de-by-09671000",133
"Bad Kissingen","Landkreis","Bayern",103169,136,0,"de-by-09672000",132
"Rhön-Grabfeld","Landkreis","Bayern",79510,114,1,"de-by-09673000",143
"Haßberge","Landkreis","Bayern",84275,110,0,"de-by-09674000",131
"Kitzingen","Landkreis","Bayern",91696,103,0,"de-by-09675000",112
"Miltenberg","Landkreis","Bayern",128743,161,0,"de-by-09676000",125
"Main-Spessart","Landkreis","Bayern",125976,224,0,"de-by-09677000",178
"Schweinfurt","Landkreis","Bayern",115652,170,0,"de-by-09678000",147
"Würzburg","Landkreis","Bayern",162697,98,0,"de-by-09679000",60
"Augsburg","Kreisfreie Stadt","Bayern",295830,519,0,"de-by-09761000",175
"Kaufbeuren","Kreisfreie Stadt","Bayern",44662,77,0,"de-by-09762000",172
"Kempten (Allgäu)","Kreisfreie Stadt","Bayern",68940,59,0,"de-by-09763000",86
"Memmingen","Kreisfreie Stadt","Bayern",44360,28,0,"de-by-09764000",63
"Aichach-Friedberg","Landkreis","Bayern",135024,123,0,"de-by-09771000",91
"Augsburg","Landkreis","Bayern",255900,323,0,"de-by-09772000",126
