owiddate,Deutschland,Afghanistan,Ägypten,Algerien,Angola,Argentinien,Aserbaidschan,Australien,Bangladesch,Belarus,Belgien,Bolivien,Brasilien,Bulgarien,Chile,China,Costa Rica,Dänemark,Dominikanische Republik,Ecuador,El Salvador,Elfenbeinküste,Finnland,Frankreich,Ghana,Griechenland,Großbritannien,Guatemala,Guinea,Honduras,Indien,Indonesien,Irak,Iran,Israel,Italien,Japan,Jordanien,Kanada,Kasachstan,Kenia,Kolumbien,Libanon,Malawi,Malaysia,Marokko,Mexiko,Mosambik,Nepal,Niederlande,Nigeria,Norwegen,Österreich,Pakistan,Paraguay,Peru,Philippinen,Polen,Portugal,Ruanda,Rumänien,Russland,Saudi-Arabien,Schweden,Schweiz,Senegal,Serbien,Sierra Leone,Simbabwe,Singapur,Slowakei,Spanien,Sri Lanka,Südafrika,Sudan,Südkorea,Thailand,Togo,Tschechien,Tunesien,Türkei,Uganda,Ukraine,Ungarn,USA,Venezuela,Vereinigte Arabische Emirate,Vietnam,NA
2021-02-01,1152,,8,58,,265,324,,13,43,1070,12,964,324,5,598,271,1731,,26,,,1374,1138,,1517,6023,,,,201,218,,,16483,1363,,132,515,69,,,,,,1372,34,,659,1659,,1276,813,,,,,1711,1153,,1746,717,338,1245,1950,,4527,,,1910,1295,1159,1096,,,,,,942,,1427,,,2184,4129,,12717,,
2021-02-02,1204,,11,65,,255,324,,14,43,1210,28,977,344,100,730,303,1807,,25,,,1215,1163,,1571,6160,,,,221,213,,,14846,1381,,140,455,69,,,,,,1411,28,,641,1696,,1412,949,,,,,1644,1094,,1626,717,306,1266,1954,,3632,,,1969,1427,1239,1090,,,,,,939,,1402,,,2220,4021,,12967,,
2021-02-03,1283,,14,70,,250,324,,17,43,1384,52,942,352,1384,862,334,1885,,23,,,1202,1174,,1627,6497,,,,219,216,,,13408,1450,,148,419,69,,,,,,1409,34,,622,1732,,1798,1104,16,,,,1706,1009,,1487,717,274,1287,1857,,3125,,,1938,1548,1425,1070,,,,,,965,,1405,,,2144,4015,,13557,,
2021-02-04,1350,,17,73,,369,324,,19,43,1518,54,1098,335,2712,989,366,1983,,23,,,1439,1204,,1672,6643,,,,212,223,,,12155,1482,,156,395,69,,,,,,1378,42,,603,1768,,2256,1267,16,,,,1767,949,,1368,717,243,1307,1852,,2581,,,1910,1668,1560,959,,,,,,1027,,1375,,,2110,3921,,14340,,
2021-02-05,1408,,20,75,,361,324,,19,43,1636,65,952,329,3988,1116,397,1875,,21,,,1437,1241,,1689,6661,,,,200,237,,,11545,1503,,164,402,69,,,,,,1423,43,,585,1804,,2511,1360,16,,,,1793,885,,1288,717,211,1328,1860,,2215,,,1882,1753,1541,990,,,,,,1054,,1081,,,1947,3889,,14645,,
2021-02-06,1428,,23,87,,334,324,,19,43,1661,74,946,327,4198,1244,429,1720,,19,,,1438,1245,,1687,6538,,,,212,217,,,11019,1472,,172,426,69,,,,,,1465,45,,567,1840,,2544,1444,16,,,,1822,888,,1243,717,145,1349,1859,,2139,,,1853,1789,1523,802,,,,,,1073,,1097,,,1649,4117,,15897,,
2021-02-07,1422,,23,87,,413,420,,19,43,1692,84,1002,326,4263,1371,461,1524,,17,,,1478,1250,,1668,6447,,,,215,215,,,10861,1429,,180,456,69,,,,,,1493,45,,549,1876,,2556,1502,16,,,,1805,823,,1217,717,79,1369,1651,,1797,,,1825,1786,1504,672,,,,,,1092,,1069,,,1426,4390,,14325,,
2021-02-08,1403,,23,87,,431,515,,81,43,1721,88,1003,333,6021,1284,492,1548,,15,,,1472,1295,,1649,6454,,,,241,217,,,10959,1384,,180,468,69,,,,,,1371,48,,531,1858,,2571,1582,16,,,,1819,804,,1256,717,12,1401,1689,,2054,,,1735,1774,1500,473,,,,,,1140,,904,,,1318,4437,,14225,,
2021-02-09,1408,,23,87,,404,610,,143,43,1766,86,1034,338,7895,1198,510,1631,,13,,,1642,1362,,1629,6536,,,,259,221,,36,11473,1333,,180,518,69,,,,,,1402,52,,531,1840,,2552,1615,16,,,,1623,808,,1339,717,12,1433,1722,,2312,,,1645,1842,1421,363,,,,,,1175,,862,,,1227,4537,,14076,,
2021-02-10,1393,,23,87,,441,705,,279,43,1700,72,1082,328,8728,1017,528,1618,,11,,,1563,1442,,1618,6501,,,,268,280,,23,11961,1268,,180,581,69,,,,,,1715,43,,532,1822,,2504,1677,16,,510,,1588,895,,1467,717,11,1465,1864,,2607,,,1645,1878,1381,241,,,,,,1218,,774,,,1138,4740,,14521,,
2021-02-11,1413,,23,87,,410,800,,393,43,1729,72,903,350,9316,923,546,1515,,9,,,1388,1544,,1635,6552,,,,266,299,,19,12310,1191,,180,633,69,,,,,,1973,34,,533,1804,,2367,1743,16,,775,,1607,1002,,1584,685,11,1497,1898,,4351,,,1736,1861,1320,208,,,,,,1278,,591,,,1079,4869,,13786,,
